#Position (bp)	insert size
1.89275099E9	391.67229977957385
1.900998271E9	391.09290709290707
1.909245552E9	392.1170589460529
1.917492833E9	380.6533764367816
1.925740114E9	402.356537930206
1.933987395E9	399.5288913464197
1.9418441525E9	400.28409305844525
1.9456274275E9	360.0
1.946017951E9	388.6333622936577
1.950481957E9	404.46888617744463
1.958729238E9	387.35643564356434
1.966976519E9	362.35463521667583
1.9752238E9	379.9056838365897
1.983471081E9	394.3393232651501
1.991718362E9	410.851691904007
1.999965643E9	411.71362393120273
2.008212924E9	374.38157528527694
2.016460205E9	382.26107277987984
2.024707486E9	378.8547393364929
2.032954767E9	384.40301576422206
2.041202048E9	374.3414028553693
2.049449329E9	372.2282507015903
2.05769661E9	385.03821552910694
2.065943891E9	390.9693727173704
2.074191172E9	399.91933458882613
2.0786338535E9	405.05848484848485
2.082757494E9	0.0
2.090685734E9	0.0
2.098933015E9	395.82693176683233
2.107180296E9	388.8600173891442
2.115427577E9	390.9112285818447
2.123674858E9	385.1019557550497
2.131922139E9	393.2277870913663
2.14016942E9	407.9539800995025
2.148416701E9	394.5174418604651
2.156663982E9	383.78685853923434
2.164911263E9	429.5534351145038
2.173158544E9	369.8887744593203
2.181405825E9	398.1418096723869
2.189423344E9	392.05527065527065
2.1935469845E9	0.0
2.197900387E9	0.0
2.206147668E9	0.0
2.214394949E9	415.28807245922206
2.22264223E9	390.78372352285396
2.230889511E9	388.6653517422748
2.239136792E9	398.0107700592353
2.247384073E9	377.4525231412362
2.255631354E9	387.96168990103223
2.263878635E9	394.23616946778714
2.272125916E9	392.55517778722196
2.280373197E9	386.5252236135957
2.288620478E9	389.3216454997239
2.2965525295E9	408.00358328502926
2.300461795E9	0.0
2.300668236E9	396.2
2.3008708475E9	391.0
2.300979636E9	0.0
2.3010753705E9	0.0
2.301178399E9	337.0
2.301217234E9	0.0
2.3013234165E9	0.0
2.301431691E9	0.0
2.3053461205E9	0.0
2.313362321E9	0.0
2.321609602E9	400.61182994454714
2.329856883E9	399.8775150905433
2.338104164E9	403.6837771904859
2.346351445E9	408.3904295604942
2.354598726E9	377.2791080704422
2.362846007E9	387.753339269813
2.371093288E9	392.4917536534447
2.379340569E9	405.01277852693767
2.38758785E9	404.2824253668409
2.395835131E9	401.15744932099983
2.4017017605E9	387.9475169300226
2.4036688735E9	392.6969696969697
2.406049525E9	420.42493422070885
2.412329693E9	394.0743004937691
2.420576974E9	381.95279028516853
2.428824255E9	399.2066918133557
2.437071536E9	415.5171086213609
2.445318817E9	0.0
2.453566098E9	387.83436509134833
2.461813379E9	396.992348440259
2.47006066E9	413.7727441171021
2.478307941E9	401.27585928675165
2.486555222E9	390.9360531002105
2.4924551025E9	415.2246388315606
2.495167722E9	397.4782608695652
2.4975151225E9	411.08218990120747
2.503049784E9	411.9300304111492
2.511297065E9	402.8559296557944
2.519544346E9	399.8729329852045
2.527791627E9	404.9169628109515
2.536038908E9	407.1706110303785
2.544286189E9	409.937203889951
2.55253347E9	396.4033283254363
2.560780751E9	395.44036144578314
2.569028032E9	412.2907428177034
2.5762566075E9	411.80652979754774
2.579454338E9	0.0
2.579687553E9	164.0
2.579884248E9	0.0
2.5806697385E9	382.8509212730318
2.585522594E9	386.8143459915612
2.593769875E9	380.266951161688
2.602017156E9	376.51730769230767
2.610264437E9	387.51989819527995
2.618511718E9	378.1424242424242
2.626758999E9	399.94597544338336
2.63500628E9	388.68144863266815
2.643253561E9	383.72626009468115
2.651500842E9	396.64807517429523
2.6579691455E9	401.07597684515196
2.662092786E9	414.658262272413
2.667995404E9	411.08561196545185
2.676242685E9	409.70061651159085
2.684489966E9	406.3235393448159
